2522	2961
2586	3040
2660	3117
2760	3174
2856	3214
2955	3237
3055	3226
3141	3183
3208	3109
3258	3002
3274	2881
3256	2741
3202	2595
3121	2453
3016	2328
2894	2224
2774	2149
2650	2112
2525	2106
2424	2130
2336	2184
2272	2262
2232	2354
2223	2461
2226	2569
2252	2678
2299	2786
2345	2868
2407	2947
2467	3007
2538	3063
2595	3105
2661	3137
2721	3164
2789	3179
2854	3192
2920	3197
2987	3194
3056	3175
3117	3143
3169	3089
3216	3014
3247	2921
3251	2810
3234	2687
3201	2555
3132	2423
3042	2294
2941	2178
2822	2089
2690	2029
2562	2001
2440	2002
2334	2040
2243	2104
2176	2202
2133	2322
2119	2455
2128	2595
2172	2743
2234	2878
2313	3000
2402	3106
2498	3187
2600	3251
2695	3286
2782	3298
2868	3290
2937	3267
2978	3223
3038	3184
3072	3127
3094	3070
3117	2990
3127	2916
3121	2837
3108	2758
3096	2673
3066	2588
3025	2503
2981	2414
2922	2342
2851	2269
2774	2207
2688	2159
2604	2132
2518	2124
2442	2141
2359	2179
2292	2232
2251	2331
2224	2436
2214	2545
2237	2672
2268	2808
2328	2942
2399	3061
2484	3164
2588	3255
2695	3316
2793	3350
2898	3367
2989	3348
3060	3300
3116	3233
3161	3143
3183	3039
3180	2931
3160	2817
3120	2703
3068	2595
3012	2493
2942	2410
2865	2341
2793	2288
2715	2250
2646	2223
2583	2215
2531	2220
2479	2237
2437	2268
2404	2310
2375	2358
2357	2421
2354	2482
2359	2549
2366	2630
2383	2710
2409	2788
2446	2871
2492	2949
2552	3028
2602	3096
2675	3158
2747	3210
2819	3244
2891	3263
2970	3263
3026	3242
3078	3210
3126	3154
3156	3083
3173	2994
3173	2893
3159	2785
3123	2677
3076	2569
3013	2464
2935	2369
2858	2289
2780	2225
2691	2176
2608	2145
2526	2134
2452	2142
2387	2164
2336	2198
2294	2254
2261	2321
2244	2403
2244	2493
2253	2586
2278	2683
2321	2784
2375	2892
2435	2978
2511	3063
2590	3137
2678	3193
2760	3232
2848	3260
2919	3262
2999	3252
3059	3223
3107	3179
3135	3104
3153	3034
3147	2953
3136	2868
3108	2781
3067	2698
3017	2616
2966	2547
2900	2491
2841	2437
2779	2397
2720	2373
2663	2358
2616	2352
2573	2366
2545	2378
2522	2397
2503	2419
2484	2440
2470	2461
2467	2486
2459	2519
2452	2547
2446	2579
2447	2616
2445	2658
2455	2707
2475	2766
2494	2832
2529	2896
2575	2960
2621	3018
2690	3078
2766	3124
2838	3156
2909	3169
2977	3162
3037	3127
3087	3083
3125	3016
3147	2934
3143	2842
3120	2738
3081	2635
3023	2533
2951	2444
2876	2368
2790	2311
2701	2269
2614	2251
2535	2251
2468	2270
1604	1635
1611	1645
1625	1659
1634	1662
1639	1665
1648	1676
1659	1957
1660	3505
1668	3696
1680	3683
1696	3680
1694	3663
1705	3652
3775	3635
3769	3629
3763	3626
3756	3611
3736	3595
3725	3583
3712	3576
3702	3570
3697	3048
3690	1578
3676	1587
3667	1594
3656	1604
3645	1617
1602	1630
1612	1641
1617	1647
1627	1654
1635	1663
1643	1673
1652	1684
1663	3063
1669	3699
1671	3685
1683	3673
1688	3664
1698	3656
2934	3643
3779	3630
3764	3620
3753	3607
3739	3597
3728	3586
3724	3581
3711	3572
3698	3542
3691	1576
3680	1585
3670	1595
3659	1606
3654	1615
1986	1628
1607	1639
1617	1645
1626	1654
1633	1663
1648	1674
1653	1682
1657	3236
1667	3695
1671	3683
1680	3673
1699	3669
1699	3653
3184	3638
3770	3625
3762	3616
3750	3605
3744	3596
3728	3587
3716	3577
3708	3570
3693	2694
3687	1575
3679	1586
3667	1595
3658	1605
3650	1618
1601	1633
1609	1637
1620	1647
1630	1659
1636	1667
1646	1675
1652	2270
1656	3699
1669	3685
1676	3673
1681	3668
1693	3657
1933	3646
3774	3626
3767	3615
3757	3606
3743	3600
3729	3589
3716	3571
3707	3569
3697	3560
3692	1571
3677	1584
3670	1594
3662	1605
3643	1606
2524	1626
1602	1631
1614	1642
1622	1652
1632	1664
1640	1670
1650	1760
1652	3694
1661	3686
1671	3676
1678	3663
1688	3656
1715	3651
3780	3625
3761	3614
3752	3605
3739	3598
3727	3590
3715	3578
3711	3570
3695	3558
3691	1570
3682	1584
3667	1594
3659	1603
3651	1612
2492	1621
1603	1632
1613	1642
1620	1654
1629	1663
1641	1671
1647	1842
1653	3693
1662	3685
1667	3674
1677	3664
1686	3654
2225	3640
3771	3631
3755	3613
3742	3603
3726	3591
3721	3585
3713	3576
3701	3567
